fold,tipo,mae,rmse,r2
3,bosque,3.233286714104054,3.864186150645156,0.0007612804832347608
3,bosque,3.2444095685125567,3.873681542789141,-0.004155574274789187
3,bosque,3.2526615707486486,3.8849191945075545,-0.009990188498220531
3,bosque,3.2411273040944972,3.87214692400999,-0.003360108390581873
3,xgb,3.242878665729445,3.8886489994928137,-0.011930447525660082
3,xgb,3.265720156585278,3.9288491623401165,-0.03296090766699544
3,xgb,3.2584106484237982,3.920103151087758,-0.02836707790427373
3,xgb,3.2807562197146773,3.9706808443612736,-0.05507452324581252
3,xgb,3.2572496172522203,3.9196619129298327,-0.028135589476128375
3,xgb,3.2341485542504964,3.925073866923862,-0.03097668340160986
3,xgb,3.277127123203407,3.955595879805884,-0.04707311002621295
3,xgb,3.248545983210713,3.952630420857658,-0.04550374424206671
3,elastic,3.238850914795443,3.854376737389906,0.005828067545369908
3,elastic,3.2380847230596097,3.8536886957290153,0.006182973513958578
3,elastic,3.237331218990106,3.8529805698279596,0.0065481731837542245
3,elastic,3.233606259657277,3.849110932042849,0.008542664564074043
3,elastic,3.231639467743167,3.847422069085501,0.009412511265615042
3,elastic,3.22954328131804,3.845704272519982,0.010296868575084273
4,bosque,3.2076586383511843,3.8375874924540083,-0.029568044323263765
4,bosque,3.2219267863314944,3.8514741840266504,-0.03703271425031884
4,bosque,3.2281320260316186,3.8590124963834804,-0.04109615933293842
4,bosque,3.233067958960811,3.869314129872393,-0.04666199061828946
4,bosque,3.2113317865812427,3.843911802699304,-0.032964278562890525
4,bosque,3.2317779838235197,3.8632875389988,-0.04340410507192671
4,bosque,3.2217901658063597,3.8507884998331994,-0.036663497888380636
4,bosque,3.2306507141867,3.8713208682770026,-0.047747930607049405
4,xgb,3.280251536239572,3.9713792627832056,-0.10260815940158952
4,xgb,3.317764925307968,4.043174935213624,-0.1428350173653281
4,xgb,3.318747124704374,4.035361303162745,-0.13842211714146124
4,xgb,3.397619366645813,4.1361805568661465,-0.19601727363081634
4,xgb,3.311838892852368,4.022994209918774,-0.13145500929601894
4,xgb,3.362715657065515,4.087212191787231,-0.1678655421468287
4,xgb,3.357332878372296,4.084024586301708,-0.1660446222756451
4,xgb,3.42254235022733,4.151462199847601,-0.204871274209675
4,elastic,3.171624275440101,3.8167855751916004,-0.018436601376073503
4,elastic,3.1720314405485666,3.816567935073315,-0.018320458439299747
4,elastic,3.172426910215352,3.81641563167727,-0.018239186169476174
4,elastic,3.172938069859989,3.8162323526290973,-0.018141388945215997
4,elastic,3.173081862798752,3.8153159765700457,-0.01765248350728732
4,elastic,3.173302884266503,3.8145731327651498,-0.01725624725583308
5,bosque,3.4009874913736815,4.058588840261516,0.0013346636604547601
5,bosque,3.411178712334954,4.065347808076231,-0.001994359131110013
5,bosque,3.393084424624493,4.053756175948658,0.0037115198405511807
5,bosque,3.395957029860728,4.059910637566293,0.0006840690052815068
5,bosque,3.4022907267158176,4.0606600403674555,0.0003151154286503699
5,bosque,3.40015887840981,4.05457683175348,0.0033080951406637693
5,bosque,3.398858571476858,4.058740905498895,0.0012598272420042411
5,bosque,3.394413603176046,4.062142466671778,-0.000414928290258576
5,xgb,3.4120116550095227,4.118960478848358,-0.02859666512748338
5,xgb,3.427926534698123,4.159282920728228,-0.04883407269445472
5,xgb,3.4362518162954423,4.159677549946427,-0.049033107101723816
5,xgb,3.460785754683877,4.208328462755851,-0.07371524865683954
5,xgb,3.41892810500398,4.121642263739505,-0.029936504636891792
5,xgb,3.439010900705039,4.168161979323232,-0.05331686431890659
5,xgb,3.422097163135503,4.143484173944313,-0.040881358848950944
5,xgb,3.453202701750256,4.207433382747202,-0.07325855481399501
5,elastic,3.5148827241200937,4.182011321249254,-0.06032809875098755
5,elastic,3.512487214627369,4.179348055029196,-0.05897801306493711
5,elastic,3.5097729834021076,4.176411264128414,-0.05749026700106419
5,elastic,3.5070269596216974,4.174449229198216,-0.05649690435381549
5,elastic,3.504083345863474,4.172079249989853,-0.05529762521965198
5,elastic,3.5008247815517475,4.1694447462355555,-0.05396528822403979
