player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xA_partido,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Antonio Raillo,DF,mallorca,celta,1,90,0.0,0.0,0.1,0.0,2.0,0.0,67,98.5,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,51.0,375.0,228.0,1.0,0.0,1.0,0.0
Martin Valjent,DF,mallorca,celta,1,90,0.0,0.0,0.0,0.0,0.0,1.0,58,91.4,0.0,0.0,0.0,0.0,0.0,6,4.0,4.0,100.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,42.0,277.0,116.0,0.0,1.0,1.0,50.0
Mateu Morey,MC,mallorca,celta,1,90,1.0,0.0,0.1,0.0,0.0,1.0,49,77.6,0.0,0.0,0.0,0.0,0.0,10,1.0,3.0,33.3,2.0,4.0,0.0,4.0,1.0,1.0,0.0,1.0,28.0,98.0,45.0,0.0,1.0,0.0,100.0
Leo Román,PT,mallorca,celta,1,90,0.0,0.0,0.0,0.0,0.0,0.0,29,82.8,0.0,0.0,1.0,50.0,0.4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,66.0,40.0,0.0,0.0,0.0,0.0
Pablo Durán,DT,celta,mallorca,1,89,0.0,0.0,0.0,0.0,0.0,0.0,18,66.7,0.0,0.0,0.0,0.0,0.0,3,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,13.0,50.0,6.0,0.0,0.0,0.0,0.0
Bryan Zaragoza,MC,celta,mallorca,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ferran Jutglà,MC,celta,mallorca,1,71,0.0,0.0,0.0,0.0,0.0,0.0,18,83.3,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,19.0,143.0,49.0,2.0,1.0,2.0,33.3
Borja Iglesias,DT,celta,mallorca,0,19,0.0,0.0,0.0,0.0,0.0,0.0,9,66.7,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,38.0,11.0,1.0,1.0,0.0,100.0
Iago Aspas,MC,celta,mallorca,1,62,0.0,0.0,0.0,0.0,0.0,0.0,22,77.3,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,17.0,63.0,28.0,1.0,0.0,0.0,0.0
Williot Swedberg,MC,celta,mallorca,0,28,0.0,0.0,0.2,0.1,1.0,0.0,5,60.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,25.0,17.0,1.0,0.0,0.0,0.0
Ilaix Moriba,MC,celta,mallorca,1,90,0.0,0.0,0.1,0.2,2.0,1.0,44,95.5,0.0,0.0,0.0,0.0,0.0,7,3.0,2.0,50.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,26.0,138.0,51.0,1.0,1.0,0.0,100.0
Hugo Sotelo,MC,celta,mallorca,1,72,0.0,1.0,0.0,0.4,0.0,0.0,34,85.3,1.0,0.0,0.0,0.0,0.0,12,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,23.0,122.0,43.0,0.0,0.0,0.0,0.0
Fran Beltrán,MC,celta,mallorca,0,18,0.0,0.0,0.1,0.0,1.0,0.0,7,71.4,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sergio Carreira,MC,celta,mallorca,1,90,0.0,0.0,0.0,0.0,1.0,0.0,61,85.2,0.0,0.0,0.0,0.0,0.0,5,1.0,1.0,100.0,0.0,1.0,0.0,1.0,4.0,4.0,1.0,3.0,39.0,192.0,66.0,0.0,0.0,1.0,0.0
Javier Rueda Garcia,MC,celta,mallorca,1,90,1.0,0.0,0.3,0.0,0.0,1.0,36,63.9,0.0,0.0,0.0,0.0,0.0,11,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,14.0,55.0,10.0,0.0,1.0,0.0,100.0
Marcos Alonso,DF,celta,mallorca,1,90,0.0,0.0,0.0,0.0,0.0,0.0,69,89.9,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,48.0,262.0,161.0,2.0,3.0,2.0,60.0
Carlos Dominguez,DF,celta,mallorca,1,90,0.0,0.0,0.0,0.0,0.0,0.0,60,98.3,1.0,0.0,0.0,0.0,0.0,4,2.0,1.0,100.0,0.0,2.0,1.0,1.0,6.0,0.0,0.0,0.0,37.0,147.0,56.0,0.0,1.0,0.0,100.0
Manu Fernández,DF,celta,mallorca,1,62,0.0,0.0,0.0,0.0,1.0,0.0,50,86.0,0.0,0.0,0.0,0.0,0.0,8,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,35.0,193.0,127.0,1.0,0.0,0.0,0.0
Javi Rodríguez,DF,celta,mallorca,0,28,0.0,0.0,0.0,0.0,0.0,0.0,10,70.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,25.0,6.0,0.0,0.0,0.0,0.0
Ionuț Radu,PT,celta,mallorca,1,90,0.0,0.0,0.0,0.0,0.0,0.0,36,77.8,0.0,0.0,1.0,75.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,102.0,46.0,0.0,0.0,0.0,0.0
