player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xA_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Valentin Rosier,MC,osasuna,valencia,1,90,0.0,1.0,0.0,0.0,0.2,1.0,1.0,0.0,54,74.1,1.0,0.0,0.0,0.0,0.0,12,5.0,1.0,100.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,32.0,147.0,87.0,4.0,1.0,0.0,100.0
Juan Cruz Armada,DF,osasuna,valencia,1,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,85.1,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,22.0,115.0,52.0,2.0,1.0,1.0,50.0
Catena,DF,osasuna,valencia,1,90,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,52,80.8,0.0,0.0,0.0,0.0,0.0,8,2.0,2.0,100.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,21.0,85.0,37.0,0.0,3.0,0.0,100.0
Enzo Boyomo,DF,osasuna,valencia,1,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,90.2,0.0,0.0,0.0,0.0,0.0,8,2.0,1.0,100.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,28.0,83.0,29.0,0.0,4.0,0.0,100.0
Sergio Herrera,PT,osasuna,valencia,1,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,66.7,0.0,0.0,0.0,100.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,120.0,81.0,0.0,0.0,0.0,0.0
Dani Raba,DT,valencia,osasuna,1,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,83.3,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesus Vazquez,DF,valencia,osasuna,0,65,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,29,93.1,0.0,0.0,0.0,0.0,0.0,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,17.0,92.0,43.0,1.0,1.0,1.0,50.0
Arnaut Danjuma,DT,valencia,osasuna,1,90,0.0,0.0,0.4,0.0,0.0,3.0,2.0,1.0,16,87.5,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,5.0,1.0,3.0,18.0,112.0,51.0,2.0,0.0,0.0,0.0
Diego López,MC,valencia,osasuna,1,90,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,23,60.9,0.0,0.0,0.0,0.0,0.0,5,2.0,1.0,100.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,24.0,153.0,103.0,3.0,0.0,7.0,0.0
José Luis García Vayá,MC,valencia,osasuna,1,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,74.0,0.0,0.0,0.0,0.0,0.0,1,2.0,2.0,50.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,125.0,63.0,0.0,0.0,4.0,0.0
Baptiste Santamaria,MC,valencia,osasuna,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,61.5,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,59.0,19.0,0.0,1.0,0.0,100.0
Javier Guerra,MC,valencia,osasuna,1,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,73.7,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,17.0,88.0,27.0,0.0,0.0,0.0,0.0
Filip Ugrinic,MC,valencia,osasuna,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,80.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,26.0,14.0,0.0,0.0,0.0,0.0
Luis Rioja,MC,valencia,osasuna,1,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,71.4,0.0,0.0,0.0,0.0,0.0,3,1.0,1.0,100.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,11.0,94.0,38.0,3.0,0.0,0.0,0.0
Mouctar Diakhaby,DF,valencia,osasuna,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,72.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,108.0,74.0,0.0,1.0,0.0,100.0
José Luis Gayà,DF,valencia,osasuna,1,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,78.9,0.0,1.0,0.0,0.0,0.0,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,31.0,15.0,0.0,0.0,0.0,0.0
Copete,DF,valencia,osasuna,1,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,87.1,0.0,0.0,0.0,0.0,0.0,6,1.0,0.0,0.0,0.0,4.0,4.0,0.0,11.0,0.0,0.0,0.0,18.0,54.0,21.0,0.0,0.0,2.0,0.0
Hugo Duro,MC,valencia,osasuna,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,100.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,21.0,1.0,0.0,0.0,1.0,0.0
César Tárrega,DF,valencia,osasuna,1,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,82.7,1.0,0.0,0.0,0.0,0.0,3,3.0,3.0,66.7,1.0,2.0,1.0,1.0,7.0,1.0,0.0,0.0,37.0,142.0,70.0,0.0,1.0,2.0,33.3
Dimitri Foulquier,DF,valencia,osasuna,1,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,88.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,177.0,69.0,0.0,1.0,2.0,33.3
Julen Agirrezabala,PT,valencia,osasuna,1,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,70.0,0.0,0.0,1.0,75.0,0.7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,165.0,67.0,0.0,1.0,0.0,100.0
